protocol,packet_size,src_bytes,dst_bytes,src_ip,dest_ip,service,tcp_flags,error_rate,wrong_fragment,count,is_threat,attack_type
tcp,464,407,57,192.168.147.113,192.168.65.88,mysql,FA,0.018037441320413718,0,99,0,normal
udp,458,186,272,37.136.142.211,4.75.8.2,sip,,0.0367477902287024,0,88,0,normal
udp,200,123,77,113.74.14.64,192.168.191.164,sip,,0.19051525478368073,0,65,1,r2l
tcp,699,256,443,192.168.36.80,57.192.104.162,http,S,0.025576198447231083,0,63,0,normal
udp,975,811,164,23.166.145.20,77.157.184.253,ntp,,0.009935157380690651,0,60,0,normal
icmp,969,506,463,103.193.176.172,163.16.250.33,destination-unreachable,,0.0356286394285023,0,98,0,normal
tcp,323,267,56,192.168.126.14,192.168.47.245,telnet,S,0.6956763975849246,0,25,1,dos
tcp,1446,1124,322,190.17.247.3,192.168.98.57,pop3,A,0.34814147142169827,0,28,1,u2r
tcp,656,251,405,96.34.70.243,192.168.221.5,http,PA,0.1674977460415198,0,27,1,u2r
tcp,164,99,65,192.168.189.247,192.168.129.108,smtp,S,0.5810127422406701,0,79,1,dos
tcp,919,715,204,57.54.3.17,192.168.140.130,imap,S,0.6363705468270707,0,2,1,dos
tcp,1087,720,367,112.81.167.142,192.168.76.91,imap,PA,0.0672051906337727,1,99,1,u2r
tcp,268,183,85,192.168.67.60,19.252.238.235,pop3,SA,0.002931325316888649,0,29,0,normal
tcp,1000,688,312,16.88.69.46,192.168.176.123,telnet,S,0.655892646935224,0,60,1,dos
tcp,512,312,200,192.168.108.111,192.168.160.8,mysql,PA,0.05810549127033323,0,42,0,normal
tcp,574,405,169,144.83.165.253,192.168.58.14,smtp,F,0.03596704151184402,0,21,0,normal
tcp,200,53,147,11.34.166.172,192.168.214.25,imap,A,0.10209774104156824,0,74,1,r2l
tcp,721,382,339,192.168.146.175,192.168.174.242,ftp,FA,0.021803807610264743,0,37,0,normal
tcp,67,25,42,192.168.60.218,142.47.35.237,smtp,F,0.024203543369538245,0,43,0,normal
tcp,1223,688,535,163.65.190.131,5.83.174.68,https,R,0.03793709779883434,0,20,0,normal
tcp,362,134,228,169.161.119.189,192.168.193.129,telnet,PA,0.031749652769272024,0,95,1,r2l
udp,897,318,579,192.168.107.103,137.82.95.177,dns,,0.14188429341568923,0,96,0,normal
tcp,343,228,115,192.168.173.243,50.228.221.25,ssh,A,0.027106556994202554,0,65,0,normal
tcp,60,33,27,121.244.71.44,192.168.50.25,imap,A,0.48437056116002297,0,89,1,dos
tcp,222,99,123,52.95.119.64,66.21.77.37,smtp,R,0.09252365902759885,0,65,0,normal
tcp,51,49,2,192.168.231.4,192.168.226.251,https,S,0.051566944742517294,0,78,1,probe
tcp,805,495,310,192.168.191.61,172.77.112.254,mysql,F,0.018514995616697887,0,86,0,normal
tcp,799,491,308,192.168.195.205,192.168.151.96,mysql,SA,0.008960816651493909,0,35,0,normal
udp,1045,562,483,174.194.39.95,183.68.232.115,dhcp,,0.03315390133405322,0,42,0,normal
tcp,56,52,4,52.104.138.123,192.168.232.74,pop3,S,0.32180492030510055,0,97,1,probe
tcp,455,249,206,192.168.144.226,92.158.44.228,imap,PA,0.23674242507523546,0,66,0,normal
tcp,391,124,267,192.168.15.108,133.168.229.214,pop3,P,0.07897589372897815,0,33,0,normal
tcp,846,386,460,192.168.182.198,186.71.140.34,telnet,S,0.026020332865955145,0,4,0,normal
tcp,695,290,405,192.168.74.127,192.168.68.226,smtp,R,0.047664300366061126,0,16,0,normal
tcp,179,107,72,58.213.88.143,26.116.232.228,telnet,R,0.005610719186129349,0,83,0,normal
tcp,330,197,133,181.84.84.231,192.168.41.5,telnet,S,0.036625611674032596,0,44,0,normal
tcp,60,39,21,192.168.183.250,54.16.30.56,imap,S,0.06963625541300641,0,5,1,probe
tcp,520,240,280,129.159.212.33,147.105.103.27,ssh,A,0.013580026000948353,0,55,0,normal
tcp,722,399,323,192.168.219.135,192.168.108.66,pop3,U,0.012851374519322235,0,95,0,normal
tcp,963,606,357,192.168.1.210,192.168.213.67,pop3,PA,0.13197252602385173,0,11,0,normal
tcp,148,113,35,192.168.206.84,147.88.243.159,mysql,S,0.48891886772271304,1,86,1,dos
icmp,49,44,5,171.169.52.84,192.168.83.94,time-exceeded,,0.09361077994440561,0,26,1,probe
tcp,170,120,50,192.168.30.67,192.168.86.97,mysql,S,0.28018699634604777,0,84,1,dos
tcp,1412,1082,330,192.168.105.127,107.249.227.182,telnet,R,0.0793092143567942,0,25,0,normal
tcp,802,333,469,192.168.67.118,192.168.82.190,telnet,R,0.1190977036450748,0,49,0,normal
udp,924,265,659,192.168.84.109,82.225.93.199,tftp,,0.031015426709236266,0,27,0,normal
tcp,200,126,74,150.69.215.77,192.168.64.19,mysql,PA,0.025415516177568532,0,96,1,r2l
tcp,60,40,20,160.138.120.8,184.159.171.36,pop3,SA,0.020950525468007783,0,82,0,normal
tcp,715,543,172,112.100.85.146,192.168.161.28,telnet,A,0.11397172480272136,0,70,1,u2r
tcp,95,49,46,27.22.0.90,192.168.12.74,ssh,S,0.04766759014329021,0,11,0,normal
tcp,719,484,235,192.168.148.232,192.168.48.96,telnet,S,0.10278723351336821,0,10,0,normal
tcp,1049,500,549,192.168.58.133,192.168.75.254,http,R,0.03890968046629888,0,99,0,normal
tcp,541,328,213,192.168.124.251,39.111.82.9,smtp,FA,0.06733317355124638,0,30,0,normal
udp,300,136,164,192.168.30.249,51.97.203.107,dns,,0.10532183089531759,0,17,0,normal
tcp,212,138,74,68.230.38.12,75.37.247.158,mysql,A,0.0025907579314413233,0,40,0,normal
tcp,383,127,256,192.168.187.101,220.206.51.62,ssh,R,0.027489637164547824,0,27,0,normal
tcp,371,260,111,25.208.69.250,192.168.138.170,imap,R,0.06531468009578664,0,14,0,normal
tcp,437,343,94,192.168.95.201,164.222.156.155,telnet,S,0.09275977379981418,0,43,0,normal
tcp,410,272,138,192.168.39.119,59.49.216.39,https,PA,0.01793572207204843,0,95,0,normal
udp,530,306,224,16.182.65.78,206.96.246.42,ntp,,0.0966413745679974,0,29,0,normal
tcp,200,59,141,138.64.235.123,192.168.166.190,mysql,PA,0.12065571325959945,0,4,1,r2l
tcp,885,465,420,192.168.188.216,96.151.19.164,mysql,FA,0.0007181571984655501,0,32,0,normal
udp,261,157,104,192.168.177.219,13.230.60.184,tftp,,0.12809919887982452,0,11,0,normal
tcp,699,373,326,192.168.76.156,192.168.204.71,smtp,P,0.0328741767402542,0,87,0,normal
udp,321,176,145,192.168.71.22,192.168.128.216,dns,,0.39256931760562935,0,29,1,dos
tcp,904,701,203,57.189.161.110,22.194.19.128,ssh,A,0.011413322379605514,0,98,0,normal
tcp,63,55,8,77.113.10.32,192.168.186.132,https,S,0.30620113714275055,0,9,1,probe
tcp,375,293,82,78.247.154.20,192.168.162.34,ftp,S,0.4056948372669132,0,87,1,dos
tcp,298,245,53,192.168.192.115,192.168.109.13,ftp,S,0.5448985452273627,0,9,1,dos
tcp,686,307,379,216.249.23.176,180.147.97.37,ftp,S,0.06794206734538444,0,83,0,normal
tcp,344,160,184,192.168.120.141,203.45.52.57,http,S,0.030283767768282042,0,34,0,normal
tcp,664,223,441,192.168.200.45,97.58.61.79,imap,U,0.016457985456743287,0,58,0,normal
tcp,844,475,369,192.168.221.242,192.168.64.180,imap,F,0.0568910152611676,0,32,0,normal
tcp,789,501,288,192.168.18.233,107.202.74.198,https,FA,0.006390349567004845,0,48,0,normal
tcp,943,374,569,77.148.131.145,192.168.175.45,ftp,SA,0.22970109988860007,0,77,0,normal
tcp,1118,490,628,192.168.12.139,192.168.115.89,ssh,U,0.03031498208551308,0,66,0,normal
icmp,57,27,30,194.146.62.60,192.168.35.166,destination-unreachable,,0.0979126431220071,0,46,1,probe
tcp,598,444,154,192.168.182.220,192.168.199.61,ftp,S,0.7157191537877765,0,19,1,dos
tcp,664,365,299,192.168.123.251,192.168.137.29,imap,PA,0.015793331466998274,0,98,0,normal
tcp,537,222,315,192.168.46.131,192.168.144.102,mysql,S,0.0367390192631383,0,26,0,normal
tcp,350,141,209,192.168.2.155,192.168.166.82,mysql,F,0.010231669434801756,0,14,0,normal
tcp,762,351,411,192.168.112.253,86.41.198.68,smtp,FA,0.00765978636085045,0,68,0,normal
udp,743,345,398,192.168.50.3,125.12.251.60,sip,,0.00797597101048693,0,58,0,normal
tcp,447,363,84,63.36.31.51,100.104.48.1,pop3,S,0.5257355127577725,0,99,1,dos
tcp,200,100,100,213.201.10.20,192.168.18.196,smtp,A,0.22597147840695603,1,75,1,r2l
udp,776,399,377,192.168.76.14,192.168.241.179,snmp,,0.014996984646904854,0,44,0,normal
tcp,458,175,283,38.151.104.129,192.168.44.240,mysql,U,0.013348809864782842,0,85,0,normal
tcp,356,241,115,193.232.169.184,192.168.45.253,https,S,0.43748391192972635,1,42,1,dos
tcp,301,244,57,44.158.240.137,192.168.250.56,pop3,S,0.4640431457520348,0,36,1,dos
tcp,484,256,228,192.168.195.68,192.168.13.220,ssh,U,0.03895003463499105,0,9,0,normal
tcp,1314,630,684,192.168.191.15,157.32.180.208,mysql,FA,0.0675412307719243,0,52,0,normal
tcp,67,60,7,112.55.199.59,192.168.14.232,https,S,0.3510521057597122,0,69,1,probe
tcp,66,54,12,72.252.102.181,192.168.108.115,https,S,0.21933804191249626,0,4,1,probe
tcp,1000,473,527,192.168.216.247,192.168.16.99,telnet,S,0.02596848077432316,0,42,0,normal
tcp,200,63,137,66.68.158.217,192.168.130.228,ssh,PA,0.33888685950562625,0,71,1,r2l
udp,60,16,44,35.71.62.127,192.168.227.100,ntp,,0.0359173817682305,0,99,0,normal
tcp,783,354,429,192.168.211.134,214.133.232.89,mysql,F,0.13209157265906835,0,16,0,normal
udp,659,390,269,192.168.7.188,192.168.41.131,tftp,,0.04156026696583395,0,42,0,normal
tcp,190,168,22,111.92.116.241,192.168.105.226,telnet,S,0.5654073415222326,0,46,1,dos
tcp,727,351,376,192.168.212.48,212.150.80.243,https,FA,0.004063896190123888,0,80,0,normal
udp,63,46,17,192.168.183.107,192.168.183.203,ntp,,0.21916636549036514,0,58,1,probe
tcp,60,48,12,192.168.44.134,192.168.224.167,telnet,S,0.30915235222127896,0,38,1,dos
tcp,1118,588,530,192.168.88.62,192.168.253.42,smtp,U,0.058863511048567685,0,47,0,normal
tcp,921,136,785,55.237.210.76,192.168.68.13,telnet,PA,0.18753616847317042,0,12,1,r2l
udp,839,396,443,192.168.225.187,30.184.3.202,ntp,,0.06906506625736955,0,74,0,normal
udp,588,377,211,192.168.56.51,215.116.235.92,sip,,0.034799885679134515,0,40,0,normal
tcp,1264,734,530,192.168.168.17,192.168.23.244,ftp,FA,0.013016244827568557,0,62,0,normal
tcp,1101,324,777,192.168.141.141,5.131.152.140,https,P,0.001468746074016942,0,45,0,normal
icmp,44,29,15,206.230.5.12,192.168.169.237,destination-unreachable,,0.20040337592999438,0,23,1,probe
udp,60,31,29,192.168.79.35,15.182.82.27,dhcp,,0.027043450546777033,0,18,0,normal
tcp,972,118,854,78.146.168.63,1.10.178.120,smtp,R,0.05420518137278086,0,14,0,normal
tcp,687,277,410,192.168.251.121,192.168.74.159,telnet,R,0.015889229708349762,0,63,0,normal
tcp,1103,437,666,192.168.86.250,192.168.90.253,ftp,PA,0.014282463607825879,0,2,0,normal
tcp,1165,550,615,141.188.139.126,192.168.90.114,ssh,P,0.04323709168842983,0,61,0,normal
udp,724,311,413,111.125.75.82,192.168.133.172,snmp,,0.0525270723519753,0,50,0,normal
udp,404,313,91,73.195.238.24,61.100.155.141,tftp,,0.25714527018097566,0,36,1,dos
tcp,1241,723,518,6.127.146.167,192.168.27.120,pop3,A,0.24898244170338696,0,28,1,u2r
tcp,628,387,241,192.168.244.92,192.168.210.92,http,A,0.00735061896169483,0,76,0,normal
tcp,728,153,575,192.168.194.70,192.168.93.149,ftp,P,0.042592854610520314,0,61,0,normal
tcp,671,187,484,192.168.104.197,219.246.206.10,https,F,0.021269901530326814,0,91,0,normal
icmp,646,609,37,101.126.196.166,192.168.15.40,echo-reply,,0.3026196130118771,0,15,1,dos
udp,1113,502,611,192.168.218.53,192.168.173.230,tftp,,0.012339124880095243,0,49,0,normal
tcp,592,195,397,192.168.35.104,192.168.175.161,ssh,PA,0.02138126645048265,0,36,0,normal
tcp,684,287,397,192.168.70.123,31.23.39.11,pop3,A,0.06573548541687896,0,61,0,normal
tcp,1168,334,834,192.168.42.55,156.102.34.113,ftp,SA,0.004874267546188201,0,49,0,normal
tcp,412,117,295,20.58.43.27,51.111.74.80,pop3,S,0.006114345974455149,0,63,0,normal
tcp,792,141,651,179.58.37.147,192.168.70.155,telnet,SA,0.06463733328117614,0,84,0,normal
tcp,646,316,330,192.168.185.164,80.49.35.144,http,PA,0.02268121101127671,0,78,0,normal
tcp,72,52,20,192.168.230.17,192.168.122.125,smtp,S,0.040084822869638735,0,52,1,probe
tcp,754,515,239,192.168.213.208,63.120.223.151,http,F,0.030713558817119294,0,70,0,normal
tcp,595,166,429,192.168.141.152,91.219.249.33,https,SA,0.023557509717380767,0,57,0,normal
tcp,208,121,87,129.236.85.5,192.168.27.223,ssh,R,0.06217526597637379,0,75,0,normal
tcp,1200,735,465,17.228.201.54,192.168.202.74,pop3,PA,0.10332366927898239,0,30,1,r2l
tcp,836,491,345,192.168.14.193,59.235.99.136,ftp,U,0.056322793367813144,0,79,0,normal
tcp,882,356,526,192.168.201.19,95.186.2.72,smtp,S,0.02621070422700993,0,68,0,normal
udp,322,230,92,192.168.181.211,143.81.167.250,dns,,0.802695088277686,1,28,1,dos
tcp,1085,600,485,155.8.237.213,192.168.215.172,pop3,SA,0.04440708624364464,0,96,0,normal
tcp,519,135,384,192.168.198.232,192.168.139.105,http,U,0.0025199750646902625,0,76,0,normal
tcp,1092,570,522,192.168.77.189,79.220.148.245,ssh,SA,0.007931441947674669,0,26,0,normal
tcp,856,612,244,192.168.36.250,192.168.66.106,imap,S,0.06889648026039034,0,41,0,normal
tcp,694,420,274,192.168.186.253,192.168.166.21,https,U,0.1347016001142547,0,3,0,normal
tcp,903,605,298,192.168.236.184,192.168.37.26,http,FA,0.07415451889326768,0,66,0,normal
tcp,67,60,7,192.168.75.70,192.168.156.114,telnet,S,0.22358368011575733,0,10,1,probe
tcp,837,355,482,168.102.201.231,192.168.252.170,mysql,A,0.21917563817991476,0,50,1,u2r
tcp,720,389,331,104.73.95.96,9.59.162.71,https,SA,0.011964842673048157,0,75,0,normal
tcp,60,45,15,192.168.32.220,96.140.17.12,mysql,A,0.09233743479605393,0,98,0,normal
tcp,255,46,209,212.95.72.139,80.176.191.192,smtp,S,0.008694660500182198,0,99,0,normal
tcp,773,343,430,141.196.198.20,64.185.67.65,ftp,FA,0.08726820689360612,0,21,0,normal
icmp,75,52,23,126.68.48.162,192.168.187.15,destination-unreachable,,0.1166300324928404,0,28,1,probe
tcp,307,105,202,192.168.206.87,192.168.186.219,http,U,0.05984254573680948,0,94,0,normal
tcp,69,66,3,192.168.149.156,192.168.142.232,mysql,S,0.259946475370242,0,73,1,dos
tcp,621,105,516,192.168.20.103,141.36.167.177,mysql,S,0.14483679601263783,0,50,0,normal
tcp,500,228,272,192.168.213.51,192.168.186.129,smtp,SA,0.06867531455575218,0,59,0,normal
tcp,686,415,271,192.168.157.122,53.198.5.244,mysql,FA,8.423502804006602e-05,0,94,0,normal
tcp,1277,910,367,192.168.100.111,192.168.37.8,http,A,0.11992209288598321,0,23,0,normal
tcp,934,600,334,192.168.242.68,9.189.173.247,telnet,A,0.03832592975888034,0,77,0,normal
tcp,1172,866,306,156.236.191.109,192.168.43.182,mysql,PA,0.056738938791247584,0,94,1,u2r
tcp,125,122,3,71.150.143.126,192.168.3.84,http,S,0.4909594572916509,0,84,1,dos
tcp,504,193,311,77.100.123.178,89.231.123.21,ftp,U,0.03310047501803954,0,15,0,normal
udp,352,160,192,168.21.153.84,192.168.94.152,dhcp,,0.008697638385296252,0,64,0,normal
tcp,869,687,182,192.168.177.93,192.168.130.24,ssh,PA,0.09271233109961421,0,30,1,u2r
udp,620,502,118,192.168.119.10,192.168.21.34,dhcp,,0.11281894956825683,0,68,0,normal
tcp,820,440,380,182.115.123.145,192.168.141.40,ftp,S,0.16500343643216323,0,1,1,u2r
tcp,44,37,7,192.168.16.195,21.209.137.38,smtp,S,0.17369720829298574,0,46,1,probe
tcp,54,41,13,192.168.16.191,192.168.42.146,smtp,S,0.12280521980636266,0,41,1,probe
tcp,1018,422,596,67.80.53.189,192.168.67.34,ssh,R,0.11225882105276859,0,10,0,normal
udp,56,47,9,72.14.171.175,1.120.145.113,tftp,,0.3810613006970087,0,10,1,probe
tcp,1173,708,465,189.117.34.26,132.39.75.175,ssh,P,0.008465161570152062,0,46,0,normal
tcp,898,516,382,192.168.33.43,191.229.97.110,mysql,P,0.18857886595346698,0,23,0,normal
icmp,871,585,286,192.168.30.9,16.251.121.232,echo-request,,0.0036689149394990126,0,83,0,normal
tcp,707,182,525,192.168.157.3,192.168.154.95,pop3,SA,0.023433067345964752,0,55,0,normal
tcp,642,214,428,192.168.226.28,192.168.169.240,mysql,S,0.5177388491077857,0,23,1,dos
icmp,159,95,64,192.168.40.162,148.7.151.166,echo-request,,0.020800822569516188,0,3,0,normal
tcp,891,280,611,192.168.225.183,183.82.254.114,pop3,U,0.08293045157416606,0,65,0,normal
tcp,500,297,203,222.172.77.19,192.168.38.110,ssh,FA,0.07677988287768354,1,1,1,u2r
tcp,386,281,105,192.168.209.56,144.77.3.195,imap,S,0.030275308346271346,0,23,0,normal
icmp,67,59,8,192.168.97.240,192.168.227.146,echo-request,,0.20117375873540522,0,50,1,probe
tcp,263,198,65,76.138.85.236,139.118.10.145,imap,F,0.05430227987830915,0,3,0,normal
tcp,832,434,398,57.230.81.36,192.168.174.133,imap,U,0.0812607348062369,0,83,0,normal
tcp,40,29,11,200.131.123.121,192.168.214.223,https,S,0.24709329190806767,0,15,1,probe
tcp,743,353,390,192.168.19.101,69.175.245.253,mysql,S,0.0011970752992054713,0,64,0,normal
icmp,460,136,324,192.168.136.120,192.168.97.231,echo-request,,0.020989460709984503,0,73,0,normal
tcp,817,625,192,192.168.183.119,143.8.128.50,telnet,P,0.03527191263167311,0,52,0,normal
tcp,1217,366,851,76.43.220.15,192.168.46.49,imap,A,0.26807787725661564,0,62,1,u2r
tcp,273,194,79,192.168.82.229,192.168.183.60,pop3,S,0.4806572801635964,0,87,1,dos
tcp,444,365,79,192.168.203.24,192.168.129.100,pop3,S,0.6653721302844713,0,82,1,dos
tcp,630,601,29,118.198.181.193,192.168.127.249,ssh,R,0.3509331794164732,0,25,1,dos
tcp,832,457,375,175.163.187.168,180.135.209.110,mysql,A,0.012003758605976,0,18,0,normal
tcp,298,220,78,192.168.222.202,192.168.131.114,smtp,A,0.002463671286397221,0,27,0,normal
tcp,931,693,238,192.168.5.218,147.191.226.99,telnet,A,0.0018105248242908443,0,75,0,normal
tcp,706,399,307,192.168.19.131,192.168.12.39,ssh,S,0.01901572640751883,0,56,0,normal
tcp,271,106,165,192.168.138.78,192.168.19.16,http,PA,0.10551667987368651,0,36,1,r2l
tcp,886,238,648,83.227.81.173,192.168.249.43,pop3,P,0.039834057594009625,0,73,0,normal
tcp,864,363,501,192.168.8.220,27.84.214.10,https,P,0.07373113532020223,0,27,0,normal
udp,612,449,163,192.168.23.193,192.168.32.171,sip,,0.014005343430626796,0,7,0,normal
tcp,986,551,435,194.161.177.225,192.168.61.46,ssh,SA,0.03487353666659151,0,31,0,normal
tcp,449,152,297,36.137.254.170,192.168.54.11,telnet,A,0.1593083472884934,0,51,1,r2l
tcp,1116,714,402,192.168.249.61,43.147.250.170,telnet,F,0.04958922108716472,0,83,0,normal
tcp,822,279,543,192.168.216.94,32.247.196.131,mysql,P,0.052522948280816065,0,19,0,normal
udp,1142,748,394,126.138.21.178,101.57.106.110,dns,,0.08020461888959726,0,19,0,normal
tcp,673,178,495,192.168.41.38,202.105.178.130,pop3,U,0.03330505574622375,0,55,0,normal
tcp,1430,714,716,25.70.92.78,192.168.189.163,ftp,U,0.07819665080699059,0,38,0,normal
udp,747,513,234,192.168.1.201,192.168.125.187,dhcp,,0.03898292380040118,0,80,0,normal
tcp,1230,474,756,192.168.65.243,192.168.138.104,https,PA,0.086811530048384,0,50,0,normal
tcp,1036,662,374,151.205.15.207,192.168.196.118,telnet,P,0.0859802380671367,0,31,0,normal
tcp,68,50,18,156.224.8.184,110.219.150.206,mysql,S,0.11515840187777589,0,18,1,probe
tcp,69,40,29,22.6.189.132,192.168.192.110,mysql,S,0.3393000111473799,0,57,1,probe
tcp,452,143,309,163.248.45.224,192.168.17.127,http,R,0.021062327047425174,0,55,0,normal
tcp,452,271,181,192.168.58.182,192.168.237.15,smtp,P,0.050556525998276924,0,58,0,normal
udp,887,784,103,192.168.129.86,192.168.128.121,snmp,,0.3321553515977101,1,18,1,dos
tcp,785,437,348,90.147.209.161,192.168.51.127,https,FA,0.16008973562540912,0,9,0,normal
udp,331,182,149,192.168.201.125,192.168.53.52,ntp,,0.009361124453039433,0,78,0,normal
udp,138,123,15,182.83.129.130,209.252.53.101,dhcp,,0.2912231287911781,0,10,1,dos
tcp,440,172,268,84.58.239.115,192.168.82.49,http,PA,0.265533945470293,0,5,1,r2l
tcp,1197,663,534,192.168.239.36,171.7.73.185,ssh,A,0.00246989458236729,0,25,0,normal
tcp,301,87,214,157.233.9.100,52.166.113.32,smtp,R,0.045160085765365475,0,55,0,normal
tcp,452,250,202,80.152.71.186,192.168.125.240,telnet,A,0.08532496127871332,0,63,0,normal
tcp,710,232,478,192.168.33.198,199.184.121.91,pop3,P,0.16927958404177157,0,23,0,normal
tcp,58,37,21,192.168.46.199,192.168.118.29,imap,A,0.10075671588187586,1,61,1,probe
udp,687,263,424,192.168.168.202,32.210.16.239,ntp,,0.04067150614773856,0,28,0,normal
tcp,68,52,16,77.216.84.70,192.168.67.241,mysql,S,0.05344975534156937,0,83,1,probe
icmp,52,38,14,152.45.165.92,191.177.232.63,echo-reply,,0.13417353393201495,0,53,1,probe
tcp,1309,564,745,192.168.182.119,37.235.109.62,smtp,P,0.005322938509434865,0,15,0,normal
tcp,768,218,550,192.168.229.20,192.168.16.65,ftp,PA,0.03696904365985498,0,70,0,normal
udp,463,320,143,192.168.176.134,192.168.147.139,ntp,,0.39019273665572785,0,18,1,dos
tcp,240,111,129,79.175.171.45,35.221.229.168,http,P,0.031429292378479634,0,7,0,normal
tcp,1116,652,464,192.168.183.215,192.168.246.57,smtp,R,0.001223716372229071,0,69,0,normal
tcp,707,404,303,192.168.182.131,192.168.199.189,ssh,F,0.047571218081808114,0,43,0,normal
udp,885,555,330,192.168.12.244,192.168.138.179,tftp,,0.027221520430894715,0,55,0,normal
tcp,903,331,572,13.135.131.159,192.168.17.58,smtp,PA,0.10742885943855585,0,18,0,normal
tcp,440,107,333,192.168.159.223,192.168.211.19,pop3,SA,0.027318229578156314,0,38,0,normal
tcp,841,264,577,192.168.226.242,171.139.180.244,imap,F,0.11779799687111904,0,88,0,normal
tcp,581,270,311,192.168.155.121,192.168.7.245,mysql,R,0.15810913733244467,0,35,0,normal
tcp,584,425,159,192.168.238.251,130.222.101.40,imap,U,0.03660370173230254,0,52,0,normal
tcp,1057,453,604,212.29.36.89,192.168.116.92,http,PA,0.1697993970647673,0,68,1,u2r
tcp,413,335,78,192.168.157.25,192.168.152.1,telnet,PA,0.08002424776849691,0,54,1,r2l
tcp,772,396,376,6.134.47.223,63.246.123.234,pop3,R,0.026557032758382754,0,2,0,normal
udp,562,246,316,149.13.32.87,192.168.189.99,dhcp,,0.0933683980724465,0,66,0,normal
tcp,528,343,185,197.168.167.47,192.168.158.211,telnet,PA,0.1478294049650502,0,87,1,u2r
tcp,980,507,473,192.168.239.56,192.168.179.189,ftp,A,0.012492438834503166,0,79,0,normal
tcp,696,666,30,192.168.120.160,192.168.213.119,telnet,S,0.3694969963304094,0,12,1,dos
tcp,939,432,507,13.91.222.194,167.191.89.116,telnet,F,0.15411801503997347,0,70,0,normal
tcp,493,365,128,204.162.73.225,192.168.62.234,ftp,P,0.0560517899207338,0,46,0,normal
udp,304,246,58,192.168.123.210,192.168.125.238,dhcp,,0.4465717789523487,1,78,1,dos
tcp,185,98,87,192.168.194.22,39.217.121.95,imap,S,0.5831741131151555,0,43,1,dos
tcp,60,50,10,17.47.85.176,73.187.97.246,ftp,S,0.3698217253016255,0,18,1,probe
tcp,519,265,254,178.109.82.27,192.168.95.94,ssh,PA,0.2006264534408054,0,84,1,r2l
tcp,1042,588,454,29.4.83.188,175.143.54.246,ftp,SA,0.06666147541118493,0,23,0,normal
tcp,380,193,187,124.92.197.213,192.168.108.3,ssh,A,0.09954926635454309,0,39,0,normal
tcp,879,514,365,192.168.236.46,192.168.4.167,telnet,U,0.010823063606493674,0,40,0,normal
tcp,760,354,406,192.168.22.167,58.38.56.218,smtp,F,0.018873712968245245,0,94,0,normal
tcp,1021,633,388,102.150.206.75,207.24.254.203,imap,P,0.012560897838258001,0,33,0,normal
