Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Average Packet Size,Label
80,1526.950020550277,950,76,84564,7520,8580.770431567249,44.889964623339864,17,3,29,46,0,3.2723007653743488,738.0763248538832,Bot
443,58.05442964248611,24,10,2853,4497,711.7311016072418,28.553777939392514,3,0,5,15,0,1.2074816578291263,354.77893685225416,BENIGN
22,212.26107492938706,479,140,71552,1774,452.07763030365544,139.28717962314755,332,0,22,387,3,3.148172514336889,332.19839705082853,DoS Slowloris
80,289.52933149219604,49,11,8929,3497,16.479157252299355,1.2222843352214172,4,0,8,1,0,1.019326417676638,549.4352957560027,BENIGN
80,139.72903098843116,16,18,8669,1769,1534.8737190094378,1.0860499959215464,2,0,9,18,0,1.012548084078444,570.7563012881842,BENIGN
443,10.71745299018202,39,26,4046,1651,2926.42786100105,16.217554500375112,3,0,5,7,0,1.971145303596253,661.5861057414013,BENIGN
80,294.545454484566,43,21,3235,3392,1591.464651648864,8.810467555179072,2,1,5,6,0,0.6791075389105574,524.3368631269198,BENIGN
8080,292.6087092431686,784,139,1217,8537,743.3903939103969,11.750092537932275,48,2,14,48,0,4.792585999767245,776.6398410592581,SSH-Patator
3389,103.43329326773423,854,103,55011,6955,1616.5952621188733,22.376442477817985,255,1,16,333,4,3.477421344622965,1274.5011772251548,DoS GoldenEye
3389,1165.0945633434126,507,88,22278,7324,1612.022653826686,61.19937240636506,17,0,18,11,0,3.466164671577511,1463.7785713679532,Infiltration
67,1965.8646478425164,11,29,985,511,865.3923714160475,30.042258326081928,2,0,0,18,0,1.5265993677973786,403.2659518391274,BENIGN
68,368.63751265822737,1,7,9522,1053,409.1774299943403,11.681700350775614,0,1,2,15,0,0.9666637796418388,377.0682702590751,BENIGN
123,12.045757677870961,27,9,3285,402,323.66562361191006,2.001840416461497,1,1,9,5,0,0.5897313223421317,654.7692167920932,BENIGN
80,39.88168881885002,539,64,62467,5729,5576.971340327031,30.243700407647722,337,188,4,51,0,6.925494493925742,120.27053790277463,PortScan
68,52.432686362443434,22,16,4256,1429,3519.125741796654,30.549026820320215,4,1,4,19,0,1.117371425039014,613.3284309263939,BENIGN
67,36.17044422202617,35,11,5144,1312,634.1797278896753,0.3540534591105262,3,1,6,11,0,1.1988600263444842,272.66349192904636,BENIGN
22,1515.5920669562172,881,122,94017,1624,6550.576972522019,10.835858359419236,327,4,26,273,2,9.55204053971894,732.6454423533088,DoS Slowloris
443,24.856753141462853,25,19,3012,1386,429.28744148137685,0.20222283247387865,4,0,4,19,0,0.5082430556071763,237.12850704592773,BENIGN
8080,947.0254723489048,964,178,13471,3881,14634.326209893738,5.068331490864809,404,180,0,13,0,0.2844030313640149,1453.0169061895047,PortScan
443,126.63549726273473,12,5,9849,1995,3848.6857657723795,0.9707527469922616,2,1,3,5,0,1.9916408169273445,555.305206106468,BENIGN
443,206.03670494611464,374,190,10606,1805,3175.715712465807,15.585011946457,40,4,4,10,0,5.591668897669481,506.2867934286203,SSH-Patator
443,707.3661220844792,20,4,1270,2134,494.8036651633223,20.700029272934547,3,1,5,12,0,1.4680070816386124,230.63861520126812,BENIGN
8080,769.37213485524,650,151,96197,7122,2817.0598614108926,58.49828174750474,11,0,3,32,0,5.2979787206140685,984.9985689245177,Web Attack
123,4.734189158843708,1,13,6385,3974,673.9828737980154,4.9858053623520595,3,0,8,0,0,1.485860188669915,443.3876225894489,BENIGN
80,285.3501289674807,47,2,6145,1630,1025.4542402893853,35.90644312830872,3,1,4,17,0,0.588341619600643,683.1738494472974,BENIGN
22,93.95428795987054,399,133,16460,7966,23970.874640154216,142.53866494292492,13,0,3,22,0,8.617152995668043,1275.3841171406411,Infiltration
80,609.8457978405048,49,16,1713,437,1234.6602403391248,22.571190241014534,2,0,6,14,0,1.3891806333719297,705.9390412729404,BENIGN
3389,783.9870088122804,647,56,94936,5848,4722.758052203227,205.25070803647873,23,1,2,2,0,9.339360849249836,722.3022571472732,FTP-Patator
80,195.24637200441242,748,28,2069,7336,4157.417624583721,161.8792632959615,26,1,10,13,0,4.36812059916913,1131.3052493724883,Web Attack
80,212.63514892885382,749,11,67630,5354,742.427877356766,71.91490171865259,369,6,31,104,3,1.3492153093921586,1440.1082058465647,DoS GoldenEye
443,429.3541953126163,30,12,9015,1415,348.2876496494374,3.9839193606172514,1,0,3,4,0,1.8225697757163153,497.5305823370678,BENIGN
123,393.6978789621203,4,25,3443,4157,456.54612993674226,44.068309657234224,0,1,4,18,0,1.5985791939393388,436.97720620902055,BENIGN
443,129.09399923831023,39,4,7758,1721,1744.7168266508802,21.20865756111439,3,0,5,17,0,1.4980262718228041,504.80659991766936,BENIGN
80,269.9345528328092,65,164,39703,8533,2160.2965763264738,50.49694782939795,186,0,9,239,2,2.9790853794444905,797.3857282975061,DoS GoldenEye
80,82.43144476586617,1,27,8407,447,493.1366292593987,53.44875351178508,3,0,4,17,0,0.5859067444865305,407.9604208861733,BENIGN
80,815.6520564736112,251,19,82597,1476,1805.643158787542,35.98669531555741,18,2,29,46,0,7.706088278055191,137.8348279963435,Bot
53,301.82696435515464,31,19,487,3219,45.003949595730134,20.84376087065256,4,1,0,19,0,0.6874816103644457,371.7243754481665,BENIGN
8080,667.4918610132352,251,178,99697,5995,5896.824019050359,7.164157163426613,908,34,5,140,0,2.786111286605581,630.3432561342394,PortScan
443,181.1983385877377,33,6,5551,360,918.4829347592993,16.092433270683784,4,1,0,5,0,1.2138588234613796,644.2040565697653,BENIGN
80,36.40558673877678,39,2,6451,3499,101.43267107527086,36.19575457237799,2,0,8,2,0,1.9200129327336666,269.5859213001992,BENIGN
80,97.10483004697194,9,27,650,762,594.249643426073,22.269054559190778,2,1,2,7,0,1.9423531661861952,216.71988895758543,BENIGN
80,119.27269455639558,33,20,1542,3986,1129.2393464674844,0.6270027725218603,1,0,5,14,0,0.8713558386923477,209.11787473874742,BENIGN
443,333.63700866158797,39,20,7603,3085,2100.590082845173,27.579659119063553,0,0,3,17,0,0.8411343407737614,657.2724231259672,BENIGN
443,173.6814872640963,3,27,9683,4423,1700.5124412699602,43.915592400429226,4,0,0,12,0,0.5401190205162609,320.0683838071576,BENIGN
22,527.3865829223099,63,156,65641,8645,3515.628125880587,572.3840994329533,148,4,4,143,0,3.6543345832337297,1222.332198368942,DoS Slowloris
80,112.29753703716116,49,28,5287,1589,735.2442416815113,40.02684142467787,0,1,6,19,0,1.7736504345087813,725.8230883293511,BENIGN
443,21.986451922329998,8,24,4261,1845,163.8767130807946,43.706772817813516,2,1,2,12,0,1.139909576590478,567.5466378753792,BENIGN
53,97.86130643508663,29,11,5393,3419,4517.767577440963,2.4770141189876544,3,0,8,9,0,1.2408688692270162,621.1392112212859,BENIGN
443,24.88960684946431,3,25,5376,740,1738.473226823198,20.368673115381565,1,0,9,18,0,1.9942616381708533,291.0592071107161,BENIGN
22,109.53066903906027,14,62,91084,8055,1005.4598538244265,163.38267605719864,28,2,12,42,0,8.306085748444614,1065.7419707206168,DDoS
8080,541.4675600732807,80,126,88968,5996,2416.275010442709,10.364182707155356,245,0,12,85,3,2.632051308640464,1448.3378135252972,DoS Slowloris
443,463.95851249792815,4,23,9675,1927,1428.963820154847,8.899113938285804,4,0,0,17,0,1.9827118434444742,498.36231483663806,BENIGN
443,261.03024619200716,1,5,7208,3719,4368.715363454271,1.9592568157112369,1,0,9,1,0,1.942364311316168,340.4872346118674,BENIGN
80,41.510681421384405,48,20,7790,3428,41.19391027747193,9.699029568758936,3,1,2,4,0,1.0692710700470016,309.849708142566,BENIGN
80,60.27437618985382,31,20,1297,1823,151.7869786227713,9.854446943819328,4,0,8,5,0,1.438107330238331,362.5484685725853,BENIGN
80,266.763339114946,21,8,4556,1999,1225.687468936376,9.127715173189703,3,0,7,8,0,1.8581235918158545,291.4344642276836,BENIGN
80,821.7158232954233,422,51,43071,701,10317.645679664542,16.205055078237717,48,2,2,47,0,4.740930456345469,593.0656202303035,Infiltration
443,21.487290788519037,5,2,2791,398,2760.2494687703097,5.472220712827945,4,1,0,14,0,0.7732227232314353,532.4416071552351,BENIGN
443,523.5317884897509,11,29,2791,1301,477.58853447701165,21.66703220288158,1,0,3,11,0,0.5306196082484858,499.15507431502994,BENIGN
22,150.82210724850117,517,48,81467,8087,1651.3172420445583,2.170831699680728,14,1,28,4,0,0.589986198965279,821.0740579380041,Bot
443,127.04847914662739,21,28,5180,4447,729.0133708474701,21.89582678453668,0,1,0,9,0,0.9745693180165085,629.0414084132792,BENIGN
443,295.0450050947701,7,2,4734,1617,1323.2240903919408,16.873635759356695,1,0,0,15,0,1.4375210715107123,294.5775012389062,BENIGN
80,274.22019949815837,42,1,1185,4940,869.279538763929,10.515648112222074,4,0,1,4,0,1.826929814569128,200.03364714241894,BENIGN
80,100.95561748365678,36,10,4244,685,52.26305292663584,14.771118002089501,1,1,9,4,0,1.1470437934819413,271.3652034796916,BENIGN
443,16.108350000108494,26,21,5506,2893,347.66450423354024,42.98947653359734,4,1,9,17,0,1.8803999899932022,312.1390273505095,BENIGN
443,41.07781197031905,7,1,6508,1608,179.27519025899207,2.330514894265797,0,1,3,18,0,1.001691689382098,587.9080309468712,BENIGN
80,150.1373767697895,11,25,1234,2523,177.33477520228158,6.398579183181123,2,1,9,15,0,1.0020954208790316,361.7557491639675,BENIGN
123,261.5510403294925,5,21,4551,4024,327.7903932484901,0.02099038110141647,4,0,4,10,0,1.0505874460542304,677.2270347564223,BENIGN
80,279.1087678865325,22,12,2394,3516,4491.091065290355,5.644898151454896,4,0,3,18,0,1.0846431158626713,586.4185824447588,BENIGN
443,492.0467717268612,24,29,7843,1256,54.71521548995129,19.63228559167048,0,0,1,11,0,0.5494824359502609,771.9805878681572,BENIGN
443,174.48601642272942,33,21,8823,851,1931.858739510681,28.850998058137478,0,0,9,12,0,0.7646227703354898,678.3992999697159,BENIGN
443,265.0569611220388,1,2,5961,2812,3243.308086303154,10.616747822657285,0,0,8,3,0,0.8214433479428628,287.2305174400723,BENIGN
443,73.16828351093997,47,13,3018,2155,3325.8589534895036,36.924899180852705,0,1,0,15,0,0.557603911866625,216.78423258301362,BENIGN
80,939.0950931635679,42,26,9657,198,1485.70372009763,19.31261592111593,0,0,2,0,0,1.3789317466487503,557.0564043874291,BENIGN
80,89.42955845196046,9,26,8806,3349,318.34013725049266,4.894102339739681,0,0,1,13,0,1.2945442599707175,513.7578325282452,BENIGN
68,180.8837544168166,43,1,532,2771,630.7546814758941,39.10487583263014,2,0,3,6,0,1.62546832932734,786.2455601223849,BENIGN
80,54.5501217113482,2,11,1565,3211,2495.869191935362,54.7901121931957,3,1,4,5,0,1.0056563068704034,734.4027598217799,BENIGN
80,63.01679424629345,42,21,7445,4987,748.9342312118423,14.874322488898821,3,0,5,18,0,1.523542065726748,640.6244838386333,BENIGN
67,404.0763740224305,10,6,8221,4786,178.0282307367808,8.172695580954764,0,0,4,11,0,1.8479452180675815,459.43253721560006,BENIGN
443,207.44757185845276,49,4,333,693,1886.2948383594262,33.59608223202795,4,0,5,6,0,1.9282023591009652,640.191378195475,BENIGN
80,142.50382759077976,1,7,2309,4787,1493.8036603916564,7.440496250639482,1,0,4,1,0,1.3900758873247014,374.5118220820709,BENIGN
443,319.84792181492554,17,23,5137,4774,1137.41317640375,60.670621655352676,4,0,7,3,0,1.7154933367661651,551.9123799044729,BENIGN
80,15.083871386592504,37,9,5675,1791,311.7945786416375,13.779504072493507,2,1,1,15,0,1.1496062666902374,639.7264365398909,BENIGN
68,14.84206518290051,30,22,2099,4984,1585.0484981979002,9.46615989929403,4,0,8,9,0,1.4997554287122044,797.4904681756045,BENIGN
53,132.32462939438278,23,18,4989,1442,407.6461950359779,11.893253392467035,4,1,9,10,0,1.9357784126432493,231.95446002016172,BENIGN
22,1980.428825529384,497,152,45422,1866,9726.873348966983,51.65427181053276,38,0,13,44,0,9.071532321017807,158.01609029448707,Web Attack
80,229.10740562978424,10,18,2647,2584,6357.468231027632,48.94093904125939,2,0,4,12,0,0.8321865892192725,401.0972464707341,BENIGN
80,88.77836172500781,5,8,8908,1912,821.0853723483609,9.219548102590512,1,1,6,19,0,1.4664277117392375,453.43278631119233,BENIGN
53,311.5508337472142,8,18,6050,3256,1005.9338440079606,17.63101034031515,4,1,1,2,0,1.2773213092441977,577.0606749574799,BENIGN
67,55.3374777885018,40,27,4710,4031,1470.5775859584571,3.945666845414989,0,1,4,8,0,1.1652152509735434,617.3597625872989,BENIGN
443,132.25028418535874,37,29,1328,2760,380.3744762555598,5.401056920005379,0,0,3,9,0,1.181562431812956,672.8640812658159,BENIGN
80,252.55167195343753,12,10,4752,1901,62.15002630974651,7.868013140857357,4,1,5,6,0,1.189251842908357,274.850151478215,BENIGN
443,629.1814755084478,46,8,7449,2662,1418.3843716734386,26.335478324700222,2,0,9,16,0,1.6539562297971069,204.02950351321775,BENIGN
80,485.4791360091596,137,192,71686,3896,4636.251280487862,48.954798473973895,35,4,8,45,0,6.098067645678896,923.4666994391399,SSH-Patator
80,255.2592645146948,5,7,3026,4108,1299.790333138994,21.99997395672378,2,0,6,15,0,0.8646893961675679,770.2529770934248,BENIGN
68,54.55727336241313,45,18,4406,2692,861.5994550423404,3.401501902650229,0,1,1,14,0,1.3173191595569136,373.7584585689881,BENIGN
443,288.52833132483147,741,97,66571,2161,13234.862672921157,153.71536283788598,24,1,19,5,0,8.24831847430658,111.07438203222276,DDoS
80,666.591556204077,560,152,35742,6603,7231.662771346639,504.11809697200266,412,0,0,125,4,6.230570880617362,387.55022991280697,DoS Hulk
80,45.82977864890677,49,15,3512,1139,983.6187854212667,0.3917125203309157,0,1,0,16,0,1.0877986520478078,391.33875370010605,BENIGN
80,152.51383002011895,28,9,9219,262,473.8783457945049,16.33610905111165,3,1,1,8,0,0.6885028890152499,421.4590733828978,BENIGN
21,56.460096884828324,382,98,38232,4383,10673.749390364203,55.10941881498943,263,6,43,452,2,8.41817827390095,285.1155555386787,DoS Hulk
123,162.29164411794642,12,15,8363,2208,1950.399946797765,4.326315256983016,1,0,6,10,0,1.5772414198249396,279.14214457933326,BENIGN
80,114.79471607862234,22,26,7406,4729,1017.6800923055318,4.03538043464639,4,0,6,17,0,1.5476801176206747,482.4846618446844,BENIGN
80,134.2740515097829,12,22,6955,3731,1876.8638284488268,21.565870558512714,1,1,6,6,0,1.9507060103915863,276.3279901087614,BENIGN
68,280.4233291309853,49,17,1819,2838,400.5165298093687,6.138618686917607,3,1,7,14,0,1.11692858752656,258.75799442334903,BENIGN
53,162.30198383806558,16,12,8331,126,394.45051378826,5.977431093172832,1,0,6,16,0,0.7916010899773326,265.15528087313976,BENIGN
443,124.51265340777198,49,10,565,3137,1591.4972821337794,27.620452055970723,0,0,7,14,0,1.7887436160836945,344.8632466872678,BENIGN
80,18.33249077168788,20,26,7505,431,4208.585838992064,36.867150053336836,2,0,0,7,0,1.401042991271018,396.8774976686698,BENIGN
123,41.939907061185046,38,15,7696,985,1455.1719116291663,7.456042596738989,4,0,0,12,0,0.553612567095925,567.0052031886851,BENIGN
123,10.759417028465545,10,3,953,4664,742.5088701477043,15.478730623563568,0,0,0,0,0,1.0848311869053986,787.7178142820167,BENIGN
68,47.473843186451234,27,9,5206,2667,339.19298244062975,26.86355157459318,3,0,5,12,0,1.0746145194081516,220.3773293509917,BENIGN
443,189.965981566394,9,1,6477,1102,1209.650059939255,2.452118909937204,2,0,2,5,0,1.7438161867558994,617.7283103128118,BENIGN
22,723.4050750778905,647,13,12867,3800,2388.1062925077363,156.90375765673093,468,0,25,468,4,1.4088653534812023,197.89992656751622,DoS Hulk
80,103.23709984781297,33,15,5475,4813,536.8962243623442,22.741615526087916,3,1,6,15,0,0.5033047894258932,266.15883507017213,BENIGN
68,404.15795857421585,2,12,6185,3787,249.3367559784771,0.31403582994727874,4,0,6,2,0,1.0413115790944851,206.38927752380982,BENIGN
123,18.652095522639097,4,10,3647,1504,2362.134214324979,0.2350904522589209,0,1,4,17,0,1.8932246848171328,511.1134178941931,BENIGN
80,47.47529246035448,43,10,7048,4263,968.536479910122,48.286718475576514,2,1,0,3,0,1.4237176732187733,605.0058151434807,BENIGN
80,256.73456500005227,19,25,4346,3073,470.1848897724755,7.014401665862255,2,0,0,15,0,0.7982680791450922,780.3164925436646,BENIGN
80,65.19443915706339,12,4,7630,4070,1632.6011821128886,37.539016589666055,2,1,9,16,0,0.6546561642076053,515.800719728262,BENIGN
22,1654.7204173148973,926,22,87492,4518,6172.039008990958,146.18459822035024,176,2,37,453,3,1.3078210825085137,1282.243926528392,DoS Hulk
53,105.93626541130459,47,13,4921,4529,525.574482868061,17.8331087393372,3,0,9,14,0,1.9550902857429326,607.0177592735823,BENIGN
53,314.6027956444346,8,24,6675,2087,5542.673932961996,51.32164186647991,4,1,9,17,0,1.9946476656586625,401.6579426276852,BENIGN
123,169.46719169773107,39,7,7232,869,301.06102306954125,23.19523519579139,0,1,8,11,0,0.7393058690552585,740.1473558658432,BENIGN
443,174.9343134771742,30,13,3118,4101,80.164627945558,14.743306793338427,2,0,9,18,0,0.9753254843180068,395.15185766754905,BENIGN
443,830.2260135652858,23,17,4665,1259,308.2925319964712,1.662173222527434,3,1,0,3,0,0.7666314597744224,366.85809035397403,BENIGN
22,53.027424723072485,602,79,97299,5384,11614.134519795989,31.262764837116457,234,115,0,179,0,5.228701128467791,635.4262797537453,PortScan
80,94.86713433777695,17,5,8683,3225,218.26465774763062,23.75422536241174,4,1,4,6,0,1.0941516705505325,433.650099696501,BENIGN
22,456.5783266931674,487,100,88318,4968,674.264737350039,81.32392336348897,10,4,28,28,0,6.243904158292578,1429.25577867472,Bot
53,164.2837538609045,2,15,4748,2446,18.012819023402713,76.05943681113045,1,1,9,0,0,1.7432041198483965,288.9636098374185,BENIGN
22,1403.0284450919153,420,197,63690,2545,2533.388892823351,56.61701491398489,32,3,1,2,0,2.97015153470466,421.7908671878994,FTP-Patator
80,868.8992103766439,30,13,5215,2905,1656.1124742286045,7.740392408560811,2,0,7,0,0,1.4254740989758414,255.68224269238033,BENIGN
3389,575.5119750651409,238,77,26747,654,450.0826185943034,616.2363410677834,733,181,7,59,0,5.318858858173298,188.80514778963538,PortScan
80,258.3319047854968,10,28,5296,2946,1284.6130867296065,5.775512596113717,4,1,2,1,0,1.1865830016933097,402.6343351826933,BENIGN
80,100.90406202743974,6,24,7634,917,746.6452539177924,30.962296478158105,4,1,3,4,0,1.3167787503493957,790.6162966601844,BENIGN
443,24.82873286326801,17,7,839,3953,566.4083136748935,39.13507741272436,2,0,7,0,0,1.1711514606631759,571.5926469595636,BENIGN
80,141.2352786008478,15,27,6880,1169,2850.449109317419,13.38882006112276,4,1,3,9,0,0.5604037187533882,536.655106958579,BENIGN
53,217.33701646308214,12,6,7697,4568,1601.9152461705346,5.927357909415116,1,0,9,12,0,1.4139500836255208,310.31576159371696,BENIGN
68,454.11867565840805,11,23,9267,3003,525.8338625626404,55.30561783411787,3,1,7,16,0,1.9020483700336024,596.5724990824357,BENIGN
80,16.2133441570771,39,2,4745,3665,1001.064514175734,5.919533854311936,4,1,5,15,0,0.7984952782029908,395.32005621118356,BENIGN
443,299.83805917261043,22,23,5130,1093,297.02230724634325,41.955907764712364,2,0,9,9,0,1.855296385657907,313.9890852883241,BENIGN
68,57.882822868161874,17,10,2424,4102,2243.560835967543,2.7650738498478145,4,0,5,2,0,1.8514239139661157,780.3881841164109,BENIGN
443,149.04032649847656,23,5,8351,4894,5699.2800150006005,26.359680930577866,0,1,4,8,0,1.669751863213535,326.82946399963595,BENIGN
22,804.8668664959956,523,166,45947,9580,784.859988218095,121.4984989684635,47,4,17,45,0,4.250591902617827,681.7789338849818,Bot
80,453.78585409660207,313,114,97766,3813,1262.3199609225226,22.607840983326255,142,6,24,154,0,1.7390725460480363,591.5428975921319,DoS Slowloris
68,303.1305401147715,27,12,2182,3344,343.96816321776254,13.435319675336812,3,0,9,11,0,1.1241156959500278,594.9908153482506,BENIGN
68,112.90454999008857,31,21,5184,371,689.5155331665355,0.3825057737227597,1,0,2,12,0,1.9150426764001744,671.5075617063178,BENIGN
80,93.67460075958431,442,107,46961,6017,4705.760423482024,104.64277877069297,27,1,6,33,0,5.6085189225738885,1339.249314307091,FTP-Patator
21,468.01426358291,856,134,47668,7363,3358.6198971743315,44.76641371963421,97,0,25,101,2,7.987517969098462,133.43264239276746,DoS GoldenEye
80,1252.6092220699343,334,198,81623,1434,1703.6125715406595,25.43374344448376,305,0,45,274,2,9.643548709597539,839.7296454941045,DoS Hulk
53,245.81975878854476,47,29,7402,235,64.39690834628833,8.418205223678811,2,1,7,2,0,1.7023057071345153,534.994299256733,BENIGN
443,176.99786395760032,6,22,9944,3760,146.55994571094152,11.066837173001755,3,0,0,18,0,0.6872078249434057,417.57872929452344,BENIGN
80,652.1354518165926,20,7,9982,113,82.37209223291214,7.07840060804367,2,1,9,17,0,1.6048713833766262,309.28837247157446,BENIGN
53,75.81695361997595,42,28,7682,1225,221.3184883655576,14.249633818168622,1,1,6,1,0,0.6712942816956141,460.0947361933905,BENIGN
443,209.1893548768748,911,51,78772,3540,7102.704820528137,23.412848256552223,1,0,22,31,0,7.174334926599669,169.0829184757334,FTP-Patator
123,73.69260022123879,13,24,4741,4014,909.5349541158715,16.131898572052975,4,0,7,19,0,1.4817179725042084,647.1771026751808,BENIGN
443,24.050795108108822,13,14,1015,4013,547.5820562599852,13.081990759781775,3,0,2,11,0,0.5800713218679869,734.9414822147966,BENIGN
22,70.72239558382361,961,76,93218,5373,2639.212358331409,248.63116364395438,372,7,9,100,0,8.59593830815005,557.4374560308765,PortScan
443,131.19113862131962,8,15,8763,2067,699.0889992322863,25.296796887196646,0,1,1,9,0,0.6185580042377662,764.0436513891602,BENIGN
80,46.31021346206099,32,18,2013,4267,258.44643653063287,9.707507424517342,1,0,0,19,0,0.6260937643204025,639.0137183354983,BENIGN
53,255.3586992259462,33,23,5576,3650,202.39122689846664,9.972424198138567,3,1,6,10,0,1.253784888680554,405.9624128994973,BENIGN
80,1184.0803203188868,44,96,33769,5748,1521.9565599207374,25.236775222310108,25,3,6,35,0,4.712024953738677,1005.9830080995777,SSH-Patator
123,211.7580548669611,23,28,5443,4423,629.078737048316,22.39793093064496,4,0,3,10,0,1.0930722151262402,305.3737688121305,BENIGN
80,74.8076885220805,41,25,8927,1980,632.4784001334087,4.789309705088497,2,1,8,17,0,1.409473048922485,727.7700736243669,BENIGN
443,271.23554429403583,37,11,6777,4057,224.1291158910724,19.898498858045986,1,1,2,16,0,1.5008101565083125,631.7858454868626,BENIGN
80,404.80154403040996,11,4,6211,2751,841.6885669958433,0.5979123782687132,4,0,5,9,0,1.4812801466899135,337.8997081216521,BENIGN
80,507.92899495875145,451,155,79268,9664,892.8213416087874,73.80586929886366,38,3,29,19,0,4.753822328717333,326.67141202215873,Bot
443,84.20062649903414,44,7,1407,3349,197.44056668195321,20.777156796944162,0,0,9,14,0,0.7517478670218944,234.05078610938898,BENIGN
80,345.1548788739617,37,10,6507,4668,1390.2341327923903,36.99018848262953,3,0,3,0,0,0.750767198398181,578.7143739341232,BENIGN
80,1607.0476884798882,513,110,14360,7747,596.3804224141805,134.83945156556916,45,4,22,19,0,5.835677037452117,993.061393839267,Web Attack
443,89.17758577653474,803,27,53684,5397,999.4949166941166,29.279014434952742,10,1,5,11,0,7.94117202474086,873.1804858034418,Bot
443,105.76336923122626,12,17,1091,3893,456.2464445770369,33.83064518374028,3,0,1,4,0,1.0574998716696955,706.3177007034537,BENIGN
8080,103.84845923932706,421,5,47570,4539,12108.852953162379,248.91616991853246,121,5,15,139,4,3.9358208065541547,1110.238902151952,DoS GoldenEye
443,6.546632377173821,86,99,51285,5167,2749.1245277091607,95.95629862752037,149,5,2,221,1,2.556330672584427,484.88775741694417,DoS GoldenEye
80,309.0077379138266,363,117,19108,9432,1679.1606968857157,26.638688884701654,102,2,8,73,2,2.696536993820726,750.9872204045623,DoS Hulk
80,316.09405708601287,399,141,42913,6127,6076.297979985134,127.95710165137808,190,165,6,87,0,2.744135006554652,502.9579952847291,PortScan
443,177.81844948763654,26,20,4718,1536,10.491727862443641,3.2822443004241224,4,0,6,15,0,1.3689691857838873,527.0105522176932,BENIGN
22,249.99324802429604,332,24,99804,6406,1464.5608220018617,30.469442143414177,25,2,16,13,0,8.305246787132832,739.633228774473,DDoS
8080,154.86813786726222,231,189,5917,986,3349.4900023821865,58.357645171330276,15,1,11,46,0,0.99300893274476,609.9449725262775,Bot
53,256.7079361070549,20,17,4400,2499,174.80925876062773,38.938368589461135,1,1,2,2,0,1.7539579204804205,778.360947206356,BENIGN
80,592.4043757651208,26,24,2387,2577,1701.447603779285,36.587260629071906,0,1,4,7,0,0.5893645726215263,597.7103128574126,BENIGN
80,0.6372590612809987,19,11,3187,349,302.10510404139865,15.381809570092688,0,0,1,17,0,0.7621475932270115,218.27137976189584,BENIGN
443,226.35457469956046,10,11,9234,1168,1137.7199171770756,9.890799552184987,4,1,9,8,0,1.5422163234283564,715.0429139441112,BENIGN
