protocol,packet_size,src_bytes,dst_bytes,src_ip,dest_ip,service,tcp_flags,error_rate,wrong_fragment,count,is_threat,attack_type
tcp,4048,107.0,3941.0,192.168.1.111,10.0.0.66,telnet,SF,0.2265584651829788,0,11,0,BENIGN
icmp,1136,935.0,201.0,192.168.1.163,10.0.0.118,eco_i,,0.3983278453795066,0,23,1,DoS
tcp,1689,879.0,810.0,192.168.1.190,10.0.0.211,ftp_data,SF,0.0778940430805653,0,17,0,BENIGN
tcp,1973,856.0,1117.0,192.168.1.138,10.0.0.248,telnet,SF,0.2358685166132461,0,15,0,BENIGN
tcp,716,9.0,707.0,192.168.1.27,10.0.0.71,ftp,R,0.0650766608116617,0,41,1,U2R
tcp,791,164.0,627.0,192.168.1.234,10.0.0.72,http,SF,0.1073542098721689,0,3,0,BENIGN
icmp,2163,397.0,1766.0,192.168.1.53,10.0.0.64,eco_i,,0.2879961841257118,0,6,1,R2L
udp,5801,1369.0,4432.0,192.168.1.20,10.0.0.42,time,,0.0234488657888284,0,9,0,BENIGN
udp,3899,291.0,3608.0,192.168.1.193,10.0.0.119,ntp,,0.1959585209567081,0,2,0,BENIGN
tcp,3261,1153.0,2108.0,192.168.1.252,10.0.0.123,ftp_data,SR,0.2241535110997484,0,2,1,U2R
tcp,1375,566.0,809.0,192.168.1.83,10.0.0.225,ftp,R,0.1400604081198594,0,9,0,BENIGN
tcp,230,124.0,106.0,192.168.1.65,10.0.0.11,smtp,SR,0.5055489733060953,0,23,1,R2L
tcp,147,99.0,48.0,192.168.1.129,10.0.0.149,ftp,S,0.6738906038798735,0,437,1,DoS
tcp,3706,1243.0,2463.0,192.168.1.92,10.0.0.181,ftp_data,SF,0.0965503119841773,0,4,0,BENIGN
tcp,8971,687.0,8284.0,192.168.1.168,10.0.0.174,smtp,SF,0.0663391002439006,0,13,0,BENIGN
icmp,3448,638.0,2810.0,192.168.1.132,10.0.0.105,eco_i,,0.3107704354587011,0,10,1,Probe
tcp,1665,455.0,1210.0,192.168.1.36,10.0.0.139,ssh,R,0.0509007466617269,0,2,0,BENIGN
tcp,2324,605.0,1719.0,192.168.1.114,10.0.0.101,ftp,SF,0.0293877829923569,0,7,0,BENIGN
icmp,1003,15.0,988.0,192.168.1.226,10.0.0.22,eco_i,,0.6787910542938475,0,45,1,Probe
tcp,657,473.0,184.0,192.168.1.88,10.0.0.125,ftp_data,R,0.1522351435974864,0,17,0,BENIGN
tcp,1585,480.0,1105.0,192.168.1.114,10.0.0.119,ftp,SF,0.0392660617347358,0,16,0,BENIGN
udp,1692,729.0,963.0,192.168.1.98,10.0.0.161,time,,0.181443029169358,0,18,0,BENIGN
tcp,124,78.0,46.0,192.168.1.59,10.0.0.117,ftp_data,S,0.9779022915635074,0,216,1,DoS
tcp,626,77.0,549.0,192.168.1.36,10.0.0.53,ssh,SF,0.0739973011655903,0,16,0,BENIGN
icmp,3918,1623.0,2295.0,192.168.1.128,10.0.0.141,eco_i,,0.3246893353405404,0,7,1,Probe
tcp,2401,1233.0,1168.0,192.168.1.136,10.0.0.218,http,SF,0.1826445147301275,0,15,0,BENIGN
tcp,2833,907.0,1926.0,192.168.1.187,10.0.0.236,http,SF,0.0222774372562176,0,15,0,BENIGN
tcp,2795,1174.0,1621.0,192.168.1.214,10.0.0.174,ftp,SF,0.1236187075636234,0,1,0,BENIGN
udp,3761,488.0,3273.0,192.168.1.149,10.0.0.71,time,,0.0273861178258618,0,11,0,BENIGN
icmp,935,18.0,917.0,192.168.1.87,10.0.0.203,eco_i,,0.2375571697427046,0,111,1,DoS
tcp,2205,105.0,2100.0,192.168.1.156,10.0.0.99,telnet,SF,0.1574104185715774,0,13,0,BENIGN
udp,2328,1897.0,431.0,192.168.1.222,10.0.0.133,time,,0.0408503985953344,0,1,0,BENIGN
tcp,4262,2604.0,1658.0,192.168.1.123,10.0.0.58,smtp,SF,0.2679800892193476,0,11,0,BENIGN
tcp,950,571.0,379.0,192.168.1.184,10.0.0.165,ftp_data,SF,0.165396290610921,0,10,0,BENIGN
tcp,9457,394.0,9063.0,192.168.1.86,10.0.0.202,http,S,0.2863686400489756,0,35,1,Probe
tcp,1055,95.0,960.0,192.168.1.248,10.0.0.63,telnet,S,0.2238498474183023,0,6,1,R2L
tcp,4881,959.0,3922.0,192.168.1.221,10.0.0.56,ssh,SF,0.0153906013922309,0,16,0,BENIGN
tcp,2991,1081.0,1910.0,192.168.1.122,10.0.0.50,ssh,SF,0.1572101843975234,0,13,0,BENIGN
icmp,3171,2494.0,677.0,192.168.1.123,10.0.0.232,eco_i,,0.2468290850449785,0,11,0,BENIGN
tcp,1215,432.0,783.0,192.168.1.72,10.0.0.171,telnet,SR,0.3964829761666472,0,18,1,R2L
tcp,634,97.0,537.0,192.168.1.152,10.0.0.191,ssh,S,0.2026792510285568,0,18,1,Probe
icmp,4607,746.0,3861.0,192.168.1.67,10.0.0.182,eco_i,,0.0456689931698312,0,6,0,BENIGN
icmp,3484,2799.0,685.0,192.168.1.74,10.0.0.154,eco_i,,0.0640108281291625,0,233,1,DoS
udp,1395,539.0,856.0,192.168.1.39,10.0.0.126,time,,0.0575762380709567,0,2,0,BENIGN
tcp,1839,310.0,1529.0,192.168.1.101,10.0.0.181,ssh,SF,0.2271892923163093,0,14,0,BENIGN
icmp,1297,152.0,1145.0,192.168.1.31,10.0.0.55,eco_i,,0.1515852246164238,0,287,1,DoS
tcp,2523,54.0,2469.0,192.168.1.172,10.0.0.37,http,S,0.3082028912831991,0,8,1,U2R
tcp,2913,267.0,2646.0,192.168.1.195,10.0.0.60,smtp,S,0.2492067058477449,0,1,0,BENIGN
icmp,1317,143.0,1174.0,192.168.1.64,10.0.0.4,eco_i,,0.1882037661880894,0,5,1,Probe
tcp,1473,575.0,898.0,192.168.1.222,10.0.0.131,ssh,SR,0.3062760941529461,0,45,1,R2L
udp,3264,637.0,2627.0,192.168.1.132,10.0.0.1,time,,0.0229811978464063,0,14,0,BENIGN
tcp,1573,750.0,823.0,192.168.1.156,10.0.0.97,ssh,S,0.0202990016755007,0,3,0,BENIGN
tcp,3964,2003.0,1961.0,192.168.1.114,10.0.0.7,ftp_data,SF,0.0187706000020968,0,9,0,BENIGN
tcp,2582,1235.0,1347.0,192.168.1.242,10.0.0.254,http,R,0.0276362609928299,0,12,0,BENIGN
udp,1665,407.0,1258.0,192.168.1.85,10.0.0.3,time,,0.1068828622189106,0,15,0,BENIGN
tcp,2533,1146.0,1387.0,192.168.1.99,10.0.0.1,smtp,SF,0.0400222167297965,0,6,0,BENIGN
tcp,980,672.0,308.0,192.168.1.65,10.0.0.48,telnet,S,0.0365375408482861,0,15,0,BENIGN
icmp,1932,253.0,1679.0,192.168.1.72,10.0.0.219,eco_i,,0.0070865391113247,0,19,0,BENIGN
tcp,4839,1407.0,3432.0,192.168.1.223,10.0.0.121,http,SF,0.085075345457497,0,15,0,BENIGN
tcp,90,39.0,51.0,192.168.1.150,10.0.0.28,smtp,S,0.4202712018460554,0,357,1,DoS
tcp,1302,597.0,705.0,192.168.1.223,10.0.0.112,smtp,S,0.1337682204996691,0,16,1,R2L
udp,1620,708.0,912.0,192.168.1.132,10.0.0.10,time,,0.0855133287590263,0,14,0,BENIGN
tcp,1511,792.0,719.0,192.168.1.112,10.0.0.175,telnet,SF,0.0563791153913193,0,19,0,BENIGN
tcp,1002,529.0,473.0,192.168.1.103,10.0.0.136,telnet,S,0.2100722640684658,0,4,1,R2L
icmp,2409,2113.0,296.0,192.168.1.251,10.0.0.202,eco_i,,0.4320267014140133,0,28,1,DoS
tcp,1984,479.0,1505.0,192.168.1.126,10.0.0.107,ssh,SF,0.0372250190001319,0,9,0,BENIGN
tcp,3081,255.0,2826.0,192.168.1.76,10.0.0.234,ssh,R,0.1006411461209982,0,19,0,BENIGN
icmp,1778,356.0,1422.0,192.168.1.89,10.0.0.130,eco_i,,0.0614006924425037,0,8,0,BENIGN
tcp,5576,782.0,4794.0,192.168.1.252,10.0.0.63,ftp_data,SF,0.2727229011619235,0,3,0,BENIGN
tcp,1976,598.0,1378.0,192.168.1.37,10.0.0.138,ftp_data,SF,0.0229492164043845,0,6,0,BENIGN
tcp,2560,345.0,2215.0,192.168.1.75,10.0.0.249,telnet,SF,0.0098351721354709,0,6,0,BENIGN
udp,3346,1111.0,2235.0,192.168.1.154,10.0.0.54,dns,,0.0485437211658483,0,13,0,BENIGN
tcp,906,455.0,451.0,192.168.1.40,10.0.0.77,smtp,SF,0.1453414397168878,0,3,0,BENIGN
tcp,1870,1252.0,618.0,192.168.1.1,10.0.0.59,ftp,SF,0.0112273034784742,0,2,0,BENIGN
tcp,2881,2391.0,490.0,192.168.1.245,10.0.0.203,ssh,S,0.0263116357407853,0,16,0,BENIGN
tcp,3848,409.0,3439.0,192.168.1.82,10.0.0.156,http,R,0.1197747628793229,0,7,0,BENIGN
tcp,2630,425.0,2205.0,192.168.1.20,10.0.0.121,ftp_data,SF,0.0352137107489594,0,18,0,BENIGN
tcp,614,63.0,551.0,192.168.1.210,10.0.0.138,ssh,S,0.2990302401224425,0,23,1,R2L
tcp,1090,738.0,352.0,192.168.1.32,10.0.0.72,ftp_data,S,0.4415790263012276,0,37,1,U2R
tcp,2723,1380.0,1343.0,192.168.1.129,10.0.0.200,ftp,SF,0.1846131932000166,0,7,0,BENIGN
tcp,1458,399.0,1059.0,192.168.1.133,10.0.0.253,telnet,SF,0.02782133986455,0,12,0,BENIGN
tcp,3209,371.0,2838.0,192.168.1.215,10.0.0.187,ftp,SF,0.0084402719853881,0,9,0,BENIGN
udp,1885,645.0,1240.0,192.168.1.105,10.0.0.188,time,,0.0704327358550662,0,8,0,BENIGN
tcp,3451,746.0,2705.0,192.168.1.98,10.0.0.35,telnet,SF,0.0425921879562955,0,9,0,BENIGN
icmp,1343,943.0,400.0,192.168.1.11,10.0.0.36,eco_i,,0.1790422261754829,0,38,1,U2R
tcp,1009,678.0,331.0,192.168.1.78,10.0.0.166,smtp,SF,0.1289178961131706,0,11,0,BENIGN
tcp,5299,1314.0,3985.0,192.168.1.17,10.0.0.69,telnet,SF,0.2552678591354741,0,16,0,BENIGN
tcp,1712,412.0,1300.0,192.168.1.211,10.0.0.41,ssh,R,0.0541821718331477,0,14,0,BENIGN
tcp,2104,2046.0,58.0,192.168.1.143,10.0.0.147,ssh,SF,0.0497569219001261,0,15,0,BENIGN
icmp,1967,693.0,1274.0,192.168.1.194,10.0.0.113,eco_i,,0.0992493348402095,0,14,0,BENIGN
tcp,1162,517.0,645.0,192.168.1.184,10.0.0.48,http,SF,0.0259917210221309,0,16,0,BENIGN
tcp,1001,198.0,803.0,192.168.1.93,10.0.0.60,ftp_data,R,0.0276851331545119,0,26,1,U2R
tcp,1147,181.0,966.0,192.168.1.32,10.0.0.251,telnet,S,0.6163475989688989,0,23,1,R2L
tcp,2377,1312.0,1065.0,192.168.1.51,10.0.0.220,telnet,SF,0.1232721492438818,0,19,0,BENIGN
tcp,2656,1521.0,1135.0,192.168.1.233,10.0.0.213,ftp,SR,0.412469431930474,0,48,1,U2R
udp,4342,1821.0,2521.0,192.168.1.175,10.0.0.126,ntp,,0.0110504977996616,0,18,0,BENIGN
tcp,3841,2125.0,1716.0,192.168.1.247,10.0.0.73,smtp,S,0.1655591847168164,0,13,0,BENIGN
tcp,3674,1785.0,1889.0,192.168.1.68,10.0.0.73,ssh,SF,0.0013223283922214,0,7,0,BENIGN
tcp,2540,376.0,2164.0,192.168.1.100,10.0.0.137,telnet,SF,0.0901813436227146,0,11,0,BENIGN
icmp,2628,649.0,1979.0,192.168.1.22,10.0.0.103,eco_i,,0.0209570659517936,0,3,0,BENIGN
udp,476,228.0,248.0,192.168.1.253,10.0.0.103,ntp,,0.2435622534110898,0,41,1,R2L
icmp,1597,447.0,1150.0,192.168.1.102,10.0.0.204,eco_i,,0.2039041587724235,0,46,1,Probe
udp,1677,264.0,1413.0,192.168.1.35,10.0.0.211,dns,,0.0899127622965417,0,2,0,BENIGN
tcp,2552,1151.0,1401.0,192.168.1.230,10.0.0.113,telnet,SF,0.1174053984646875,0,4,0,BENIGN
tcp,2377,397.0,1980.0,192.168.1.190,10.0.0.182,ftp,S,0.2106288821121462,0,5,0,BENIGN
tcp,3082,1861.0,1221.0,192.168.1.60,10.0.0.129,telnet,SR,0.6189987975421886,0,39,1,U2R
udp,1176,262.0,914.0,192.168.1.108,10.0.0.27,time,,0.115866205611301,0,15,0,BENIGN
udp,3005,572.0,2433.0,192.168.1.36,10.0.0.72,time,,0.1100465954010005,0,1,0,BENIGN
udp,1087,368.0,719.0,192.168.1.95,10.0.0.9,ntp,,0.1544725551144411,0,14,0,BENIGN
tcp,2056,1400.0,656.0,192.168.1.216,10.0.0.16,http,SF,0.1001652004093474,0,16,0,BENIGN
icmp,3504,183.0,3321.0,192.168.1.167,10.0.0.162,eco_i,,0.272038086043345,0,37,1,Probe
tcp,1384,363.0,1021.0,192.168.1.182,10.0.0.172,ftp_data,R,0.1597831897598022,0,11,0,BENIGN
tcp,2646,397.0,2249.0,192.168.1.19,10.0.0.73,telnet,R,0.0295539959807893,0,16,0,BENIGN
tcp,1509,725.0,784.0,192.168.1.247,10.0.0.150,telnet,SF,0.1065998878177224,0,17,0,BENIGN
tcp,5742,508.0,5234.0,192.168.1.192,10.0.0.91,telnet,SF,0.0962900805914202,0,7,0,BENIGN
udp,63,51.0,12.0,192.168.1.218,10.0.0.80,time,,0.2188197569438147,1,24,1,DoS
tcp,2658,1071.0,1587.0,192.168.1.185,10.0.0.12,ftp_data,SF,0.2297792672912594,0,16,0,BENIGN
udp,1986,1074.0,912.0,192.168.1.11,10.0.0.190,dns,,0.1171045506677911,0,5,0,BENIGN
tcp,7151,1837.0,5314.0,192.168.1.209,10.0.0.67,ftp_data,R,0.0212261187024357,0,5,0,BENIGN
tcp,1641,872.0,769.0,192.168.1.98,10.0.0.51,http,SF,0.0407998075516569,0,3,0,BENIGN
tcp,1795,460.0,1335.0,192.168.1.156,10.0.0.90,ssh,SF,0.0720886988251094,0,2,0,BENIGN
tcp,1201,104.0,1097.0,192.168.1.17,10.0.0.200,ftp_data,SF,0.0790384881810614,0,7,0,BENIGN
tcp,2529,1477.0,1052.0,192.168.1.157,10.0.0.147,telnet,SF,0.1612937735679488,0,2,0,BENIGN
udp,3662,256.0,3406.0,192.168.1.178,10.0.0.61,dns,,0.0850065857743779,0,1,0,BENIGN
tcp,2761,1514.0,1247.0,192.168.1.231,10.0.0.228,ssh,SF,0.0932836666940643,0,8,0,BENIGN
tcp,942,396.0,546.0,192.168.1.147,10.0.0.195,telnet,SR,0.5025410138837394,0,16,1,U2R
udp,870,549.0,321.0,192.168.1.155,10.0.0.73,dns,,0.0059167381364768,0,9,0,BENIGN
tcp,3810,1849.0,1961.0,192.168.1.226,10.0.0.246,smtp,S,0.0422699862272122,0,10,0,BENIGN
tcp,4781,2061.0,2720.0,192.168.1.115,10.0.0.199,ftp,SF,0.1997730413660262,0,2,0,BENIGN
tcp,1073,737.0,336.0,192.168.1.65,10.0.0.147,http,SR,0.20323651921727,0,27,1,U2R
tcp,1535,612.0,923.0,192.168.1.163,10.0.0.8,ssh,S,0.4807054754475296,0,1,1,U2R
tcp,4036,1364.0,2672.0,192.168.1.240,10.0.0.86,smtp,SF,0.1175483907844466,0,3,0,BENIGN
udp,901,459.0,442.0,192.168.1.51,10.0.0.202,time,,0.1095278609354732,0,15,1,R2L
tcp,4210,382.0,3828.0,192.168.1.50,10.0.0.109,ssh,SF,0.1411807288608831,0,11,0,BENIGN
tcp,3421,1183.0,2238.0,192.168.1.27,10.0.0.163,ftp_data,SF,0.0052862062181972,0,5,0,BENIGN
tcp,692,238.0,454.0,192.168.1.45,10.0.0.41,smtp,SR,0.2322151463207485,0,24,1,R2L
tcp,1034,452.0,582.0,192.168.1.107,10.0.0.89,ssh,SF,0.0568010601042552,0,8,0,BENIGN
tcp,4116,573.0,3543.0,192.168.1.215,10.0.0.92,smtp,SF,0.3282850046651137,0,4,1,R2L
tcp,2938,1258.0,1680.0,192.168.1.147,10.0.0.247,ftp,SF,0.2987193884583083,0,17,0,BENIGN
tcp,4457,2377.0,2080.0,192.168.1.78,10.0.0.87,http,SF,0.0503882626386936,0,13,0,BENIGN
tcp,5981,328.0,5653.0,192.168.1.139,10.0.0.167,http,S,0.212060528613112,0,37,1,R2L
tcp,4120,1520.0,2600.0,192.168.1.33,10.0.0.223,ftp,SF,0.1501975033582407,0,13,0,BENIGN
tcp,1452,551.0,901.0,192.168.1.73,10.0.0.92,ssh,S,0.4218849862413361,0,34,1,R2L
icmp,2282,1501.0,781.0,192.168.1.123,10.0.0.170,eco_i,,0.0529486311508016,0,9,0,BENIGN
tcp,1722,952.0,770.0,192.168.1.74,10.0.0.134,smtp,SF,0.0211720323106939,0,17,0,BENIGN
icmp,1089,588.0,501.0,192.168.1.250,10.0.0.61,eco_i,,0.0535520958215553,0,15,1,R2L
tcp,1592,700.0,892.0,192.168.1.215,10.0.0.38,http,SR,0.5353209266946243,0,22,1,Probe
tcp,3433,2113.0,1320.0,192.168.1.173,10.0.0.153,ftp_data,SF,0.149125010423267,0,8,0,BENIGN
tcp,1980,792.0,1188.0,192.168.1.140,10.0.0.105,smtp,SF,0.0519995188941107,0,16,0,BENIGN
icmp,543,535.0,8.0,192.168.1.105,10.0.0.127,eco_i,,0.1050273522610699,0,2,1,Probe
tcp,1780,1233.0,547.0,192.168.1.60,10.0.0.14,ssh,SF,0.4104246632259314,0,3,0,BENIGN
tcp,2943,930.0,2013.0,192.168.1.122,10.0.0.55,ftp,SF,0.2365776011363267,0,2,0,BENIGN
tcp,207,36.0,171.0,192.168.1.75,10.0.0.101,ssh,SF,0.5981060635230737,0,31,1,DoS
icmp,2984,635.0,2349.0,192.168.1.44,10.0.0.170,eco_i,,0.013933876499783,0,12,0,BENIGN
udp,4231,366.0,3865.0,192.168.1.74,10.0.0.254,dns,,0.508894932753161,0,9,1,U2R
tcp,736,117.0,619.0,192.168.1.21,10.0.0.250,smtp,SR,0.0806834575869597,0,4,1,U2R
tcp,1445,656.0,789.0,192.168.1.64,10.0.0.13,ftp_data,SF,0.1870098376359482,0,6,0,BENIGN
udp,3786,957.0,2829.0,192.168.1.161,10.0.0.28,dns,,0.1523125251097218,0,18,0,BENIGN
icmp,535,303.0,232.0,192.168.1.224,10.0.0.82,eco_i,,0.0877671734111383,0,25,1,Probe
udp,3956,2152.0,1804.0,192.168.1.129,10.0.0.125,dns,,0.0121860715540116,0,17,0,BENIGN
tcp,3179,578.0,2601.0,192.168.1.90,10.0.0.123,smtp,S,0.0419778387836679,0,9,0,BENIGN
tcp,2828,459.0,2369.0,192.168.1.240,10.0.0.240,telnet,SF,0.2342652472460057,0,3,0,BENIGN
tcp,3842,328.0,3514.0,192.168.1.75,10.0.0.165,http,R,0.0562828389036789,0,3,0,BENIGN
icmp,1265,92.0,1173.0,192.168.1.106,10.0.0.198,eco_i,,0.5218380419571613,0,43,1,Probe
udp,1378,808.0,570.0,192.168.1.15,10.0.0.47,time,,0.0404653405113139,0,9,0,BENIGN
tcp,2331,213.0,2118.0,192.168.1.252,10.0.0.5,ftp_data,R,0.1033729669447824,0,2,0,BENIGN
udp,3336,2177.0,1159.0,192.168.1.80,10.0.0.92,dns,,0.0520604356925799,0,2,0,BENIGN
tcp,3474,2544.0,930.0,192.168.1.217,10.0.0.252,ftp,S,0.0483930959190787,0,3,0,BENIGN
tcp,3445,1854.0,1591.0,192.168.1.62,10.0.0.231,telnet,SF,0.0371729451300947,0,8,0,BENIGN
icmp,4957,2463.0,2494.0,192.168.1.194,10.0.0.253,eco_i,,0.080987248620972,0,29,1,Probe
udp,1840,1469.0,371.0,192.168.1.179,10.0.0.67,time,,0.0850628925630059,0,7,0,BENIGN
tcp,3986,719.0,3267.0,192.168.1.155,10.0.0.168,ssh,SF,0.0206608576860075,0,2,0,BENIGN
tcp,4049,1587.0,2462.0,192.168.1.170,10.0.0.139,http,SF,0.3781356263781928,0,34,1,R2L
tcp,5185,2433.0,2752.0,192.168.1.166,10.0.0.13,smtp,SF,0.2568618342248412,0,2,0,BENIGN
tcp,1235,785.0,450.0,192.168.1.212,10.0.0.97,ssh,SF,0.1070651351933387,0,17,0,BENIGN
udp,1973,1642.0,331.0,192.168.1.59,10.0.0.19,ntp,,0.4089571160196635,0,44,1,DoS
tcp,3652,2799.0,853.0,192.168.1.191,10.0.0.22,http,SF,0.0493298043888568,0,3,0,BENIGN
tcp,2116,356.0,1760.0,192.168.1.27,10.0.0.140,telnet,SF,0.0161017487332237,0,2,0,BENIGN
icmp,763,478.0,285.0,192.168.1.163,10.0.0.182,eco_i,,0.3130980225183226,0,48,1,Probe
tcp,3338,1567.0,1771.0,192.168.1.66,10.0.0.237,telnet,SF,0.1424626455643721,0,2,0,BENIGN
tcp,1717,890.0,827.0,192.168.1.160,10.0.0.183,telnet,SF,0.1299084523627318,0,4,0,BENIGN
icmp,2834,844.0,1990.0,192.168.1.196,10.0.0.46,eco_i,,0.2059947820642674,1,29,1,DoS
tcp,2680,700.0,1980.0,192.168.1.29,10.0.0.139,smtp,S,0.1699699697557239,0,5,0,BENIGN
icmp,5431,3023.0,2408.0,192.168.1.126,10.0.0.76,eco_i,,0.0114597291501518,0,19,0,BENIGN
icmp,1506,759.0,747.0,192.168.1.37,10.0.0.50,eco_i,,0.059111774289588,0,15,0,BENIGN
udp,3835,156.0,3679.0,192.168.1.95,10.0.0.20,ntp,,0.248014193097194,0,31,1,U2R
tcp,3703,1949.0,1754.0,192.168.1.215,10.0.0.137,ftp_data,SF,0.0060632911329061,0,2,0,BENIGN
tcp,1786,1547.0,239.0,192.168.1.111,10.0.0.97,smtp,S,0.2069209773196614,0,14,1,R2L
icmp,339,197.0,142.0,192.168.1.191,10.0.0.141,eco_i,,0.0537906338083438,0,42,1,Probe
udp,201,43.0,158.0,192.168.1.115,10.0.0.191,dns,,0.0199991190963295,0,4,1,U2R
udp,4428,2703.0,1725.0,192.168.1.168,10.0.0.17,ntp,,0.1513479864970038,0,15,0,BENIGN
tcp,4524,12.0,4512.0,192.168.1.109,10.0.0.29,smtp,S,0.2329092799260368,0,24,1,R2L
icmp,2798,105.0,2693.0,192.168.1.61,10.0.0.247,eco_i,,0.0033735356556125,0,10,0,BENIGN
tcp,1356,844.0,512.0,192.168.1.116,10.0.0.153,telnet,S,0.2698434557394318,0,20,1,DoS
tcp,2540,1317.0,1223.0,192.168.1.124,10.0.0.171,ftp_data,SF,0.0200099513556551,0,8,0,BENIGN
tcp,5822,657.0,5165.0,192.168.1.189,10.0.0.120,http,SF,0.0115458389798006,0,14,0,BENIGN
tcp,3096,716.0,2380.0,192.168.1.99,10.0.0.119,ssh,SF,0.0136743896677394,0,11,0,BENIGN
udp,2157,447.0,1710.0,192.168.1.174,10.0.0.188,dns,,0.0121105964987921,0,7,0,BENIGN
tcp,1021,162.0,859.0,192.168.1.203,10.0.0.173,smtp,SF,0.104994411271747,0,1,0,BENIGN
tcp,3527,692.0,2835.0,192.168.1.62,10.0.0.84,smtp,SF,0.1607546112989604,0,5,0,BENIGN
udp,1096,477.0,619.0,192.168.1.134,10.0.0.161,ntp,,0.1978867062992213,0,29,1,R2L
icmp,2021,330.0,1691.0,192.168.1.101,10.0.0.232,eco_i,,0.1726050242844793,0,6,0,BENIGN
tcp,2170,924.0,1246.0,192.168.1.98,10.0.0.47,ftp_data,SF,0.1441745685960226,0,2,0,BENIGN
icmp,2073,481.0,1592.0,192.168.1.2,10.0.0.46,eco_i,,0.0580800555498098,0,2,1,Probe
tcp,1383,119.0,1264.0,192.168.1.27,10.0.0.89,smtp,SF,0.0843433163373136,0,6,0,BENIGN
tcp,1619,1083.0,536.0,192.168.1.203,10.0.0.138,ftp_data,SF,0.1009093010825989,0,8,0,BENIGN
udp,602,115.0,487.0,192.168.1.60,10.0.0.207,ntp,,0.051470770284493,0,82,1,DoS
icmp,5175,1506.0,3669.0,192.168.1.74,10.0.0.147,eco_i,,0.7371704369553669,0,38,1,Probe
tcp,3988,2342.0,1646.0,192.168.1.144,10.0.0.232,http,SF,0.1047271285072946,0,11,0,BENIGN
tcp,2281,1047.0,1234.0,192.168.1.153,10.0.0.153,telnet,R,0.0882893172122847,0,11,0,BENIGN
tcp,2592,1665.0,927.0,192.168.1.185,10.0.0.41,http,SF,0.0689942530755159,0,9,0,BENIGN
icmp,1677,184.0,1493.0,192.168.1.27,10.0.0.4,eco_i,,0.2861377534538032,0,30,1,R2L
tcp,2975,712.0,2263.0,192.168.1.41,10.0.0.239,telnet,SF,0.0598806665700683,0,13,0,BENIGN
udp,376,79.0,297.0,192.168.1.36,10.0.0.221,dns,,0.2783132003381373,0,10,0,BENIGN
tcp,3395,2287.0,1108.0,192.168.1.206,10.0.0.81,ssh,SF,0.2743058642329304,0,18,0,BENIGN
udp,3685,81.0,3604.0,192.168.1.252,10.0.0.94,time,,0.1438347324020119,0,42,1,U2R
icmp,2402,1087.0,1315.0,192.168.1.51,10.0.0.109,eco_i,,0.0757784291389769,0,14,1,Probe
tcp,1127,230.0,897.0,192.168.1.200,10.0.0.6,ftp_data,SF,0.0267695515132583,0,3,0,BENIGN
udp,693,114.0,579.0,192.168.1.49,10.0.0.132,ntp,,0.0541376573640043,0,8,0,BENIGN
tcp,1550,1230.0,320.0,192.168.1.248,10.0.0.122,telnet,S,0.1189429945094528,0,11,0,BENIGN
